Restaurant_ ID,Country_Code,Longitude,Latitude,Average_Cost_for_two,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Switch_to_order_menu,Price_range,Aggregate_rating,Rating_color,Rating_text,Votes,Restaurant_name,City,Address,Locality,Locality_verbose,Cuisines,Currency
6317637,162,121.027535,14.565443,1100,1,0,0,0,3,4.8,Dark Green,Excellent,314,Le Petit Souffle,Makati City,Third Floor Century City Mall Kalayaan Avenue Poblacion Makati City,Century City Mall Poblacion Makati City,Century City Mall Poblacion Makati City Makati City,French Japanese Desserts,Botswana PulaP
6304287,162,121.014101,14.553708,1200,1,0,0,0,3,4.5,Dark Green,Excellent,591,Izakaya Kikufuji,Makati City,Little Tokyo 2277 Chino Roces Avenue Legaspi Village Makati City,Little Tokyo Legaspi Village Makati City,Little Tokyo Legaspi Village Makati City Makati City,Japanese,Botswana PulaP
6300002,162,121.056831,14.581404,4000,1,0,0,0,4,4.4,Green,Very Good,270,Heat  Edsa ShangriLa,Mandaluyong City,Edsa ShangriLa 1 Garden Way Ortigas Mandaluyong City,Edsa ShangriLa Ortigas Mandaluyong City,Edsa ShangriLa Ortigas Mandaluyong City Mandaluyong City,Seafood Asian Filipino Indian,Botswana PulaP
6318506,162,121.056475,14.585318,1500,0,0,0,0,4,4.9,Dark Green,Excellent,365,Ooma,Mandaluyong City,Third Floor Mega Fashion Hall Sm Megamall Ortigas Mandaluyong City,Sm Megamall Ortigas Mandaluyong City,Sm Megamall Ortigas Mandaluyong City Mandaluyong City,Japanese Sushi,Botswana PulaP
6314302,162,121.057508,14.58445,1500,1,0,0,0,4,4.8,Dark Green,Excellent,229,Sambo Kojin,Mandaluyong City,Third Floor Mega Atrium Sm Megamall Ortigas Mandaluyong City,Sm Megamall Ortigas Mandaluyong City,Sm Megamall Ortigas Mandaluyong City Mandaluyong City,Japanese Korean,Botswana PulaP
18189371,162,121.056314,14.583764,1000,0,0,0,0,3,4.4,Green,Very Good,336,Din Tai Fung,Mandaluyong City,Ground Floor Mega Fashion Hall Sm Megamall Ortigas Mandaluyong City,Sm Megamall Ortigas Mandaluyong City,Sm Megamall Ortigas Mandaluyong City Mandaluyong City,Chinese,Botswana PulaP
6300781,162,120.9796667,14.53133333,2000,1,0,0,0,4,4,Green,Very Good,520,Buffet 101,Pasay City,Building K Sm By The Bay Sunset Boulevard Mall Of Asia Complex Moa Pasay City,Sm By The Bay Mall Of Asia Complex Pasay City,Sm By The Bay Mall Of Asia Complex Pasay City Pasay City,Asian European,Botswana PulaP
6301290,162,120.9793333,14.54,2000,1,0,0,0,4,4.2,Green,Very Good,677,Vikings,Pasay City,Building B By The Bay Seaside Boulevard Mall Of Asia Complex Moa Pasay City,Sm By The Bay Mall Of Asia Complex Pasay City,Sm By The Bay Mall Of Asia Complex Pasay City Pasay City,Seafood Filipino Asian European,Botswana PulaP
6300010,162,120.98009,14.55299,6000,1,0,0,0,4,4.9,Dark Green,Excellent,621,Spiral  Sofitel Philippine Plaza Manila,Pasay City,Plaza Level Sofitel Philippine Plaza Manila Ccp Complex Pasay City,Sofitel Philippine Plaza Manila Pasay City,Sofitel Philippine Plaza Manila Pasay City Pasay City,European Asian Indian,Botswana PulaP
6314987,162,121.056532,14.572041,1100,1,0,0,0,3,4.8,Dark Green,Excellent,532,Locavore,Pasig City,Brixton Technology Center 10 Brixton Street Kapitolyo Pasig City,Kapitolyo,Kapitolyo Pasig City,Filipino,Botswana PulaP
